Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner_Points
"Wed, Nov 1, 2017",Sacramento Kings,86,Boston Celtics,113,113
"Wed, Nov 1, 2017",Milwaukee Bucks,121,Charlotte Hornets,126,126
"Wed, Nov 1, 2017",Indiana Pacers,124,Cleveland Cavaliers,107,124
"Wed, Nov 1, 2017",Toronto Raptors,111,Denver Nuggets,129,129
"Wed, Nov 1, 2017",Dallas Mavericks,98,Los Angeles Clippers,119,119
"Wed, Nov 1, 2017",Orlando Magic,101,Memphis Grizzlies,99,101
"Wed, Nov 1, 2017",Chicago Bulls,91,Miami Heat,97,97
"Wed, Nov 1, 2017",Minnesota Timberwolves,104,New Orleans Pelicans,98,104
"Wed, Nov 1, 2017",Houston Rockets,119,New York Knicks,97,119
"Wed, Nov 1, 2017",Atlanta Hawks,109,Philadelphia 76ers,119,119
"Wed, Nov 1, 2017",Portland Trail Blazers,103,Utah Jazz,112,112
"Wed, Nov 1, 2017",Phoenix Suns,122,Washington Wizards,116,122
"Thu, Nov 2, 2017",Los Angeles Lakers,110,Portland Trail Blazers,113,113
"Thu, Nov 2, 2017",Golden State Warriors,112,San Antonio Spurs,92,112
"Fri, Nov 3, 2017",Houston Rockets,119,Atlanta Hawks,104,119
"Fri, Nov 3, 2017",New Orleans Pelicans,99,Dallas Mavericks,94,99
"Fri, Nov 3, 2017",Miami Heat,94,Denver Nuggets,95,95
"Fri, Nov 3, 2017",Milwaukee Bucks,96,Detroit Pistons,105,105
"Fri, Nov 3, 2017",Brooklyn Nets,112,Los Angeles Lakers,124,124
"Fri, Nov 3, 2017",Phoenix Suns,107,New York Knicks,120,120
"Fri, Nov 3, 2017",Boston Celtics,101,Oklahoma City Thunder,94,101
"Fri, Nov 3, 2017",Chicago Bulls,105,Orlando Magic,83,105
"Fri, Nov 3, 2017",Indiana Pacers,110,Philadelphia 76ers,121,121
"Fri, Nov 3, 2017",Charlotte Hornets,101,San Antonio Spurs,108,108
"Fri, Nov 3, 2017",Toronto Raptors,109,Utah Jazz,100,109
"Fri, Nov 3, 2017",Cleveland Cavaliers,130,Washington Wizards,122,130
"Sat, Nov 4, 2017",New Orleans Pelicans,96,Chicago Bulls,90,96
"Sat, Nov 4, 2017",Golden State Warriors,127,Denver Nuggets,108,127
"Sat, Nov 4, 2017",Sacramento Kings,99,Detroit Pistons,108,108
"Sat, Nov 4, 2017",Memphis Grizzlies,113,Los Angeles Clippers,104,113
"Sat, Nov 4, 2017",Dallas Mavericks,99,Minnesota Timberwolves,112,112
"Sun, Nov 5, 2017",Atlanta Hawks,117,Cleveland Cavaliers,115,117
"Sun, Nov 5, 2017",Utah Jazz,110,Houston Rockets,137,137
"Sun, Nov 5, 2017",Miami Heat,104,Los Angeles Clippers,101,104
"Sun, Nov 5, 2017",Memphis Grizzlies,102,Los Angeles Lakers,107,107
"Sun, Nov 5, 2017",Charlotte Hornets,94,Minnesota Timberwolves,112,112
"Sun, Nov 5, 2017",Indiana Pacers,101,New York Knicks,108,108
"Sun, Nov 5, 2017",Boston Celtics,104,Orlando Magic,88,104
"Sun, Nov 5, 2017",Oklahoma City Thunder,99,Portland Trail Blazers,103,103
"Sun, Nov 5, 2017",Phoenix Suns,95,San Antonio Spurs,112,112
"Sun, Nov 5, 2017",Washington Wizards,107,Toronto Raptors,96,107
"Mon, Nov 6, 2017",Boston Celtics,110,Atlanta Hawks,107,110
"Mon, Nov 6, 2017",Miami Heat,80,Golden State Warriors,97,97
"Mon, Nov 6, 2017",Brooklyn Nets,98,Phoenix Suns,92,98
"Tue, Nov 7, 2017",Milwaukee Bucks,119,Cleveland Cavaliers,124,124
"Tue, Nov 7, 2017",Brooklyn Nets,104,Denver Nuggets,112,112
"Tue, Nov 7, 2017",New Orleans Pelicans,117,Indiana Pacers,112,117
"Tue, Nov 7, 2017",Charlotte Hornets,113,New York Knicks,118,118
"Tue, Nov 7, 2017",Memphis Grizzlies,98,Portland Trail Blazers,97,98
"Tue, Nov 7, 2017",Oklahoma City Thunder,86,Sacramento Kings,94,94
"Tue, Nov 7, 2017",Los Angeles Clippers,107,San Antonio Spurs,120,120
"Tue, Nov 7, 2017",Chicago Bulls,114,Toronto Raptors,119,119
"Tue, Nov 7, 2017",Philadelphia 76ers,104,Utah Jazz,97,104
"Tue, Nov 7, 2017",Dallas Mavericks,113,Washington Wizards,99,113
"Wed, Nov 8, 2017",Los Angeles Lakers,96,Boston Celtics,107,107
"Wed, Nov 8, 2017",Indiana Pacers,97,Detroit Pistons,114,114
"Wed, Nov 8, 2017",Minnesota Timberwolves,101,Golden State Warriors,125,125
"Wed, Nov 8, 2017",New York Knicks,99,Orlando Magic,112,112
"Wed, Nov 8, 2017",Miami Heat,126,Phoenix Suns,115,126
"Thu, Nov 9, 2017",Oklahoma City Thunder,94,Denver Nuggets,102,102
"Thu, Nov 9, 2017",Cleveland Cavaliers,113,Houston Rockets,117,117
"Thu, Nov 9, 2017",Philadelphia 76ers,108,Sacramento Kings,109,109
"Thu, Nov 9, 2017",New Orleans Pelicans,118,Toronto Raptors,122,122
"Thu, Nov 9, 2017",Los Angeles Lakers,95,Washington Wizards,111,111
"Fri, Nov 10, 2017",Charlotte Hornets,87,Boston Celtics,90,90
"Fri, Nov 10, 2017",Indiana Pacers,105,Chicago Bulls,87,105
"Fri, Nov 10, 2017",Atlanta Hawks,104,Detroit Pistons,111,111
"Fri, Nov 10, 2017",Los Angeles Clippers,111,Oklahoma City Thunder,120,120
"Fri, Nov 10, 2017",Orlando Magic,128,Phoenix Suns,112,128
"Fri, Nov 10, 2017",Brooklyn Nets,101,Portland Trail Blazers,97,101
"Fri, Nov 10, 2017",Milwaukee Bucks,94,San Antonio Spurs,87,94
"Fri, Nov 10, 2017",Miami Heat,84,Utah Jazz,74,84
"Sat, Nov 11, 2017",Cleveland Cavaliers,111,Dallas Mavericks,104,111
"Sat, Nov 11, 2017",Orlando Magic,107,Denver Nuggets,125,125
"Sat, Nov 11, 2017",Philadelphia 76ers,114,Golden State Warriors,135,135
"Sat, Nov 11, 2017",Memphis Grizzlies,96,Houston Rockets,111,111
"Sat, Nov 11, 2017",Los Angeles Lakers,90,Milwaukee Bucks,98,98
"Sat, Nov 11, 2017",Los Angeles Clippers,103,New Orleans Pelicans,111,111
"Sat, Nov 11, 2017",Sacramento Kings,91,New York Knicks,118,118
"Sat, Nov 11, 2017",Minnesota Timberwolves,110,Phoenix Suns,118,118
"Sat, Nov 11, 2017",Chicago Bulls,94,San Antonio Spurs,133,133
"Sat, Nov 11, 2017",Brooklyn Nets,106,Utah Jazz,114,114
"Sat, Nov 11, 2017",Atlanta Hawks,94,Washington Wizards,113,113
"Sun, Nov 12, 2017",Toronto Raptors,94,Boston Celtics,95,95
"Sun, Nov 12, 2017",Miami Heat,103,Detroit Pistons,112,112
"Sun, Nov 12, 2017",Houston Rockets,118,Indiana Pacers,95,118
"Sun, Nov 12, 2017",Dallas Mavericks,99,Oklahoma City Thunder,112,112
"Mon, Nov 13, 2017",Orlando Magic,100,Golden State Warriors,110,110
"Mon, Nov 13, 2017",Philadelphia 76ers,109,Los Angeles Clippers,105,109
"Mon, Nov 13, 2017",Memphis Grizzlies,103,Milwaukee Bucks,110,110
"Mon, Nov 13, 2017",Atlanta Hawks,105,New Orleans Pelicans,106,106
"Mon, Nov 13, 2017",Cleveland Cavaliers,104,New York Knicks,101,104
"Mon, Nov 13, 2017",Los Angeles Lakers,100,Phoenix Suns,93,100
"Mon, Nov 13, 2017",Denver Nuggets,82,Portland Trail Blazers,99,99
"Mon, Nov 13, 2017",Minnesota Timberwolves,109,Utah Jazz,98,109
"Mon, Nov 13, 2017",Sacramento Kings,92,Washington Wizards,110,110
"Tue, Nov 14, 2017",Boston Celtics,109,Brooklyn Nets,102,109
"Tue, Nov 14, 2017",San Antonio Spurs,97,Dallas Mavericks,91,97
"Tue, Nov 14, 2017",Toronto Raptors,129,Houston Rockets,113,129
"Wed, Nov 15, 2017",Sacramento Kings,80,Atlanta Hawks,126,126
"Wed, Nov 15, 2017",Cleveland Cavaliers,115,Charlotte Hornets,107,115
"Wed, Nov 15, 2017",Philadelphia 76ers,115,Los Angeles Lakers,109,115
"Wed, Nov 15, 2017",Indiana Pacers,116,Memphis Grizzlies,113,116
"Wed, Nov 15, 2017",Washington Wizards,102,Miami Heat,93,102
"Wed, Nov 15, 2017",Detroit Pistons,95,Milwaukee Bucks,99,99
"Wed, Nov 15, 2017",San Antonio Spurs,86,Minnesota Timberwolves,98,98
"Wed, Nov 15, 2017",Toronto Raptors,125,New Orleans Pelicans,116,125
"Wed, Nov 15, 2017",Utah Jazz,101,New York Knicks,106,106
"Wed, Nov 15, 2017",Chicago Bulls,79,Oklahoma City Thunder,92,92
"Wed, Nov 15, 2017",Orlando Magic,94,Portland Trail Blazers,99,99
"Thu, Nov 16, 2017",Golden State Warriors,88,Boston Celtics,92,92
"Thu, Nov 16, 2017",Houston Rockets,142,Phoenix Suns,116,142
"Fri, Nov 17, 2017",Utah Jazz,107,Brooklyn Nets,118,118
"Fri, Nov 17, 2017",Charlotte Hornets,120,Chicago Bulls,123,123
"Fri, Nov 17, 2017",Los Angeles Clippers,113,Cleveland Cavaliers,118,118
"Fri, Nov 17, 2017",Minnesota Timberwolves,111,Dallas Mavericks,87,111
"Fri, Nov 17, 2017",New Orleans Pelicans,114,Denver Nuggets,146,146
"Fri, Nov 17, 2017",Detroit Pistons,100,Indiana Pacers,107,107
"Fri, Nov 17, 2017",Phoenix Suns,122,Los Angeles Lakers,113,122
"Fri, Nov 17, 2017",Portland Trail Blazers,82,Sacramento Kings,86,86
"Fri, Nov 17, 2017",Oklahoma City Thunder,101,San Antonio Spurs,104,104
"Fri, Nov 17, 2017",New York Knicks,84,Toronto Raptors,107,107
"Fri, Nov 17, 2017",Miami Heat,91,Washington Wizards,88,91
"Sat, Nov 18, 2017",Boston Celtics,110,Atlanta Hawks,99,110
"Sat, Nov 18, 2017",Los Angeles Clippers,87,Charlotte Hornets,102,102
"Sat, Nov 18, 2017",Milwaukee Bucks,79,Dallas Mavericks,111,111
"Sat, Nov 18, 2017",Houston Rockets,105,Memphis Grizzlies,83,105
"Sat, Nov 18, 2017",Utah Jazz,125,Orlando Magic,85,125
"Sat, Nov 18, 2017",Golden State Warriors,124,Philadelphia 76ers,116,124
"Sat, Nov 18, 2017",Sacramento Kings,90,Portland Trail Blazers,102,102
"Sun, Nov 19, 2017",Golden State Warriors,118,Brooklyn Nets,111,118
"Sun, Nov 19, 2017",Denver Nuggets,109,Los Angeles Lakers,127,127
"Sun, Nov 19, 2017",Indiana Pacers,120,Miami Heat,95,120
"Sun, Nov 19, 2017",Detroit Pistons,100,Minnesota Timberwolves,97,100
"Sun, Nov 19, 2017",Chicago Bulls,105,Phoenix Suns,113,113
"Sun, Nov 19, 2017",Washington Wizards,91,Toronto Raptors,100,100
"Mon, Nov 20, 2017",Minnesota Timberwolves,102,Charlotte Hornets,118,118
"Mon, Nov 20, 2017",Boston Celtics,110,Dallas Mavericks,102,110
"Mon, Nov 20, 2017",Cleveland Cavaliers,116,Detroit Pistons,88,116
"Mon, Nov 20, 2017",Portland Trail Blazers,100,Memphis Grizzlies,92,100
"Mon, Nov 20, 2017",Washington Wizards,99,Milwaukee Bucks,88,99
"Mon, Nov 20, 2017",Oklahoma City Thunder,107,New Orleans Pelicans,114,114
"Mon, Nov 20, 2017",Los Angeles Clippers,85,New York Knicks,107,107
"Mon, Nov 20, 2017",Indiana Pacers,105,Orlando Magic,97,105
"Mon, Nov 20, 2017",Utah Jazz,86,Philadelphia 76ers,107,107
"Mon, Nov 20, 2017",Denver Nuggets,114,Sacramento Kings,98,114
"Mon, Nov 20, 2017",Atlanta Hawks,85,San Antonio Spurs,96,96
"Tue, Nov 21, 2017",Chicago Bulls,94,Los Angeles Lakers,103,103
"Wed, Nov 22, 2017",Los Angeles Clippers,116,Atlanta Hawks,103,116
"Wed, Nov 22, 2017",Washington Wizards,124,Charlotte Hornets,129,129
"Wed, Nov 22, 2017",Brooklyn Nets,109,Cleveland Cavaliers,119,119
"Wed, Nov 22, 2017",Denver Nuggets,95,Houston Rockets,125,125
"Wed, Nov 22, 2017",Dallas Mavericks,95,Memphis Grizzlies,94,95
"Wed, Nov 22, 2017",Boston Celtics,98,Miami Heat,104,104
"Wed, Nov 22, 2017",Orlando Magic,118,Minnesota Timberwolves,124,124
"Wed, Nov 22, 2017",San Antonio Spurs,90,New Orleans Pelicans,107,107
"Wed, Nov 22, 2017",Toronto Raptors,100,New York Knicks,108,108
"Wed, Nov 22, 2017",Golden State Warriors,91,Oklahoma City Thunder,108,108
"Wed, Nov 22, 2017",Portland Trail Blazers,81,Philadelphia 76ers,101,101
"Wed, Nov 22, 2017",Milwaukee Bucks,113,Phoenix Suns,107,113
"Wed, Nov 22, 2017",Los Angeles Lakers,102,Sacramento Kings,113,113
"Wed, Nov 22, 2017",Chicago Bulls,80,Utah Jazz,110,110
"Fri, Nov 24, 2017",New York Knicks,104,Atlanta Hawks,116,116
"Fri, Nov 24, 2017",Orlando Magic,103,Boston Celtics,118,118
"Fri, Nov 24, 2017",Portland Trail Blazers,127,Brooklyn Nets,125,127
"Fri, Nov 24, 2017",Charlotte Hornets,99,Cleveland Cavaliers,100,100
"Fri, Nov 24, 2017",Memphis Grizzlies,92,Denver Nuggets,104,104
"Fri, Nov 24, 2017",Chicago Bulls,94,Golden State Warriors,143,143
"Fri, Nov 24, 2017",Toronto Raptors,104,Indiana Pacers,107,107
"Fri, Nov 24, 2017",Miami Heat,109,Minnesota Timberwolves,97,109
"Fri, Nov 24, 2017",Detroit Pistons,99,Oklahoma City Thunder,98,99
"Fri, Nov 24, 2017",New Orleans Pelicans,115,Phoenix Suns,91,115
"Sat, Nov 25, 2017",Toronto Raptors,112,Atlanta Hawks,78,112
"Sat, Nov 25, 2017",San Antonio Spurs,106,Charlotte Hornets,86,106
"Sat, Nov 25, 2017",Oklahoma City Thunder,81,Dallas Mavericks,97,97
"Sat, Nov 25, 2017",New Orleans Pelicans,95,Golden State Warriors,110,110
"Sat, Nov 25, 2017",New York Knicks,102,Houston Rockets,117,117
"Sat, Nov 25, 2017",Boston Celtics,108,Indiana Pacers,98,108
"Sat, Nov 25, 2017",Orlando Magic,111,Philadelphia 76ers,130,130
"Sat, Nov 25, 2017",Los Angeles Clippers,97,Sacramento Kings,95,97
"Sat, Nov 25, 2017",Milwaukee Bucks,108,Utah Jazz,121,121
"Sat, Nov 25, 2017",Portland Trail Blazers,108,Washington Wizards,105,108
"Sun, Nov 26, 2017",Miami Heat,100,Chicago Bulls,93,100
"Sun, Nov 26, 2017",Brooklyn Nets,98,Memphis Grizzlies,88,98
"Sun, Nov 26, 2017",Phoenix Suns,108,Minnesota Timberwolves,119,119
"Mon, Nov 27, 2017",Detroit Pistons,118,Boston Celtics,108,118
"Mon, Nov 27, 2017",Sacramento Kings,110,Golden State Warriors,106,110
"Mon, Nov 27, 2017",Brooklyn Nets,103,Houston Rockets,117,117
"Mon, Nov 27, 2017",Orlando Magic,109,Indiana Pacers,121,121
"Mon, Nov 27, 2017",Los Angeles Lakers,115,Los Angeles Clippers,120,120
"Mon, Nov 27, 2017",Portland Trail Blazers,103,New York Knicks,91,103
"Mon, Nov 27, 2017",Cleveland Cavaliers,113,Philadelphia 76ers,91,113
"Mon, Nov 27, 2017",Dallas Mavericks,108,San Antonio Spurs,115,115
"Tue, Nov 28, 2017",Phoenix Suns,104,Chicago Bulls,99,104
"Tue, Nov 28, 2017",Miami Heat,97,Cleveland Cavaliers,108,108
"Tue, Nov 28, 2017",Washington Wizards,92,Minnesota Timberwolves,89,92
"Tue, Nov 28, 2017",Milwaukee Bucks,112,Sacramento Kings,87,112
"Tue, Nov 28, 2017",Denver Nuggets,77,Utah Jazz,106,106
"Wed, Nov 29, 2017",Brooklyn Nets,109,Dallas Mavericks,104,109
"Wed, Nov 29, 2017",Phoenix Suns,107,Detroit Pistons,131,131
"Wed, Nov 29, 2017",Indiana Pacers,97,Houston Rockets,118,118
"Wed, Nov 29, 2017",Golden State Warriors,127,Los Angeles Lakers,123,127
"Wed, Nov 29, 2017",Minnesota Timberwolves,120,New Orleans Pelicans,102,120
"Wed, Nov 29, 2017",Miami Heat,86,New York Knicks,115,115
"Wed, Nov 29, 2017",Oklahoma City Thunder,108,Orlando Magic,121,121
"Wed, Nov 29, 2017",Washington Wizards,113,Philadelphia 76ers,118,118
"Wed, Nov 29, 2017",Memphis Grizzlies,95,San Antonio Spurs,104,104
"Wed, Nov 29, 2017",Charlotte Hornets,113,Toronto Raptors,126,126
"Thu, Nov 30, 2017",Cleveland Cavaliers,121,Atlanta Hawks,114,121
"Thu, Nov 30, 2017",Philadelphia 76ers,97,Boston Celtics,108,108
"Thu, Nov 30, 2017",Chicago Bulls,110,Denver Nuggets,111,111
"Thu, Nov 30, 2017",Utah Jazz,126,Los Angeles Clippers,107,126
"Thu, Nov 30, 2017",Milwaukee Bucks,103,Portland Trail Blazers,91,103
